"Tiempo","Series 1"
"2020-11-27 11:12:46",818
"2020-11-27 11:12:47",805
"2020-11-27 11:12:48",814
"2020-11-27 11:12:49",820
"2020-11-27 11:12:50",821
"2020-11-27 11:12:51",821
"2020-11-27 11:12:52",822
"2020-11-27 11:12:53",822
"2020-11-27 11:12:54",822
"2020-11-27 11:12:55",822
"2020-11-27 11:12:56",822
"2020-11-27 11:12:57",822
"2020-11-27 11:12:58",822
"2020-11-27 11:12:59",822
"2020-11-27 11:13:00",822
"2020-11-27 11:13:01",822
"2020-11-27 11:13:02",822
"2020-11-27 11:13:03",818
"2020-11-27 11:13:04",821
"2020-11-27 11:13:05",822
"2020-11-27 11:13:06",823
"2020-11-27 11:13:07",823
"2020-11-27 11:13:08",823
"2020-11-27 11:13:09",823
"2020-11-27 11:13:10",823
"2020-11-27 11:13:11",823
"2020-11-27 11:13:12",822
"2020-11-27 11:13:13",822
"2020-11-27 11:13:14",823
"2020-11-27 11:13:15",822
"2020-11-27 11:13:16",823
"2020-11-27 11:13:17",823
"2020-11-27 11:13:18",823
"2020-11-27 11:13:19",823
"2020-11-27 11:13:20",823
"2020-11-27 11:13:21",823
"2020-11-27 11:13:22",823
"2020-11-27 11:13:23",823
"2020-11-27 11:13:24",823
"2020-11-27 11:13:25",821
"2020-11-27 11:13:26",822
"2020-11-27 11:13:27",822
"2020-11-27 11:13:28",823
"2020-11-27 11:13:29",822
"2020-11-27 11:13:30",822
"2020-11-27 11:13:31",823
"2020-11-27 11:13:32",823
"2020-11-27 11:13:33",822
"2020-11-27 11:13:34",822
"2020-11-27 11:13:35",822
"2020-11-27 11:13:36",822
"2020-11-27 11:13:37",822
"2020-11-27 11:13:38",822
"2020-11-27 11:13:39",822
"2020-11-27 11:13:40",822
"2020-11-27 11:13:41",822
"2020-11-27 11:13:42",822
"2020-11-27 11:13:43",822
"2020-11-27 11:13:44",822
"2020-11-27 11:13:45",822
"2020-11-27 11:13:46",816
"2020-11-27 11:13:47",821
"2020-11-27 11:13:48",822
"2020-11-27 11:13:49",822
"2020-11-27 11:13:50",822
"2020-11-27 11:13:51",822
"2020-11-27 11:13:52",822
"2020-11-27 11:13:53",822
"2020-11-27 11:13:54",822
"2020-11-27 11:13:55",822
"2020-11-27 11:13:56",822
"2020-11-27 11:13:57",822
"2020-11-27 11:13:58",822
"2020-11-27 11:13:59",822
"2020-11-27 11:14:00",822
"2020-11-27 11:14:01",822
"2020-11-27 11:14:02",822
"2020-11-27 11:14:03",822
"2020-11-27 11:14:04",822
"2020-11-27 11:14:05",822
"2020-11-27 11:14:06",822
"2020-11-27 11:14:07",822
"2020-11-27 11:14:08",822
"2020-11-27 11:14:09",822
"2020-11-27 11:14:10",822
"2020-11-27 11:14:11",821
"2020-11-27 11:14:12",822
"2020-11-27 11:14:13",822
"2020-11-27 11:14:14",822
"2020-11-27 11:14:15",822
"2020-11-27 11:14:16",822
"2020-11-27 11:14:17",822
"2020-11-27 11:14:18",822
"2020-11-27 11:14:19",822
"2020-11-27 11:14:20",822
"2020-11-27 11:14:21",822
"2020-11-27 11:14:22",822
"2020-11-27 11:14:23",822
"2020-11-27 11:14:24",822
"2020-11-27 11:14:25",822
"2020-11-27 11:14:26",821
"2020-11-27 11:14:27",822
"2020-11-27 11:14:28",821
"2020-11-27 11:14:29",821
"2020-11-27 11:14:30",822
"2020-11-27 11:14:31",822
"2020-11-27 11:14:32",821
"2020-11-27 11:14:33",821
"2020-11-27 11:14:34",821
"2020-11-27 11:14:35",822
"2020-11-27 11:14:36",821
"2020-11-27 11:14:37",822
"2020-11-27 11:14:38",822
"2020-11-27 11:14:39",822
"2020-11-27 11:14:40",822
"2020-11-27 11:14:41",822
"2020-11-27 11:14:42",822
"2020-11-27 11:14:43",822
"2020-11-27 11:14:44",822
"2020-11-27 11:14:45",821
"2020-11-27 11:14:46",822
"2020-11-27 11:14:47",821
"2020-11-27 11:14:48",821
"2020-11-27 11:14:49",822
"2020-11-27 11:14:50",821
"2020-11-27 11:14:51",821
"2020-11-27 11:14:52",821
"2020-11-27 11:14:53",821
"2020-11-27 11:14:54",822
"2020-11-27 11:14:55",821
"2020-11-27 11:14:56",816
"2020-11-27 11:14:57",821
"2020-11-27 11:14:58",821
"2020-11-27 11:14:59",821
"2020-11-27 11:15:00",821
"2020-11-27 11:15:01",814
"2020-11-27 11:15:02",810
"2020-11-27 11:15:03",806
"2020-11-27 11:15:04",807
"2020-11-27 11:15:05",807
"2020-11-27 11:15:06",807
"2020-11-27 11:15:07",808
"2020-11-27 11:15:08",808
"2020-11-27 11:15:09",808
